workerid,proliferate.condition,accuracy,category,cond,conj1,conj1_num,conj2,conj2_num,internal_node_id,item,response,rt,stimulus,text,time_elapsed,trial_index,trial_type,error
1616,All,,irb,,,,,,0.0-0.0,,0,12866,"<p><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p>",,12873,0,html-button-response,
1616,All,,instructions,,,,,,0.0-1.0,, ,11491,"In this experiment, you will read a series of sentences and will be asked to indicate the word which best completes it.<br><br><strong>Please type the word 'is' or 'are' in the blank.</strong> <br><br>If you're unsure about your choice, follow your first instinct.<br><br>When you're ready to begin, press the space bar.",,24365,1,html-keyboard-response,
1616,All,,,,those sculptors,P,those painters,P,0.0-2.0-0.0,21,['are'],,,"Either those sculptors or those painters %is,are% using the art studio.",36344,2,cloze,
1616,All,,,SP,Lisa,S,those children,P,0.0-2.0-0.1,30,['are'],,,"Both Lisa and those children %is,are% preparing dinner.",43672,3,cloze,
1616,All,,,,Ellen,S,Ali,S,0.0-2.0-0.2,23,['are'],,,"Either Ellen or Ali %is,are% working out at the gym.",51424,4,cloze,
1616,All,,,,Harry,S,Ahmad,S,0.0-2.0-0.3,3,['is'],,,"Either Harry or Ahmad %is,are% investigating the crime scene.",59848,5,cloze,
1616,All,,,P,those lawyers,P,,,0.0-2.0-0.4,40,['are'],,,"Those lawyers %is,are% handling the legal documents.",62512,6,cloze,
1616,All,,,P,those tailors,P,,,0.0-2.0-0.5,44,['are'],,,"Those tailors %is,are% sewing the dresses.",66352,7,cloze,
1616,All,,,S,Peter,S,,,0.0-2.0-0.6,56,['is'],,,"Peter %is,are% composing the annual report.",70225,8,cloze,
1616,All,,,S,Bill,S,,,0.0-2.0-0.7,59,['is'],,,"Bill %is,are% planning the conference.",74207,9,cloze,
1616,All,,,P,those nurses,P,,,0.0-2.0-0.8,42,['are'],,,"Those nurses %is,are% attending to the patients.",78456,10,cloze,
1616,All,,,PS,those designers,P,Brian,S,0.0-2.0-0.9,34,['are'],,,"Both those designers and Brian %is,are% creating the fashion collection.",88744,11,cloze,
1616,All,,,SS,Krishna,S,Amir,S,0.0-2.0-0.10,37,['are'],,,"Both Krishna and Amir %is,are% analyzing the market trends.",93000,12,cloze,
1616,All,,,S,Joey,S,,,0.0-2.0-0.11,70,['is'],,,"Joey %is,are% developing the game software.",96985,13,cloze,
1616,All,,,,those statisticians,P,Krishna,S,0.0-2.0-0.12,12,['are'],,,"Either those statisticians or Krishna %is,are% analyzing the market trends.",109808,14,cloze,
1616,All,,,SP,David,S,those plumbers,P,0.0-2.0-0.13,31,['are'],,,"Both David and those plumbers %is,are% fixing the leaking pipe.",113856,15,cloze,
1616,All,,,PP,these girls,P,those boys,P,0.0-2.0-0.14,26,['are'],,,"Both these girls and those boys %is,are% interviewing the movie star.",118048,16,cloze,
1616,All,,,S,Mateo,S,,,0.0-2.0-0.15,50,['is'],,,"Mateo %is,are% organizing the charity event.",121776,17,cloze,
1616,All,,,P,those volunteers,P,,,0.0-2.0-0.16,45,['are'],,,"Those volunteers %is,are% sorting the books.",124808,18,cloze,
1616,All,,,S,Emma,S,,,0.0-2.0-0.17,55,['is'],,,"Emma %is,are% resolving the network issues",130072,19,cloze,
1616,All,,,P,these photographers,P,,,0.0-2.0-0.18,41,['are'],,,"These photographers %is,are% recording the solar eclipse.",133760,20,cloze,
1616,All,,,PP,those police officers,P,those detectives,P,0.0-2.0-0.19,28,['are'],,,"Both those police officers and those detectives %is,are% investigating the crime scene.",137720,21,cloze,
1616,All,,,S,Alex,S,,,0.0-2.0-0.20,58,['is'],,,"Alex %is,are% installing the security system.",141264,22,cloze,
1616,All,,,P,these architects,P,,,0.0-2.0-0.21,38,['are'],,,"These architects %is,are% designing the building's layout.",146120,23,cloze,
1616,All,,,,Thomas,S,those tailors,P,0.0-2.0-0.22,19,['are'],,,"Either Thomas or those tailors %is,are% sewing the dresses.",156080,24,cloze,
1616,All,,,,Fatima,S,Lucas,S,0.0-2.0-0.23,7,['is'],,,"Either Fatima or Lucas %is,are% conducting the experiments.",160216,25,cloze,
1616,All,,,P,those painters,P,,,0.0-2.0-0.24,46,['are'],,,"Those painters %is,are% using the art studio.",167530,26,cloze,
1616,All,,,,Alex,S,these photographers,P,0.0-2.0-0.25,16,['are'],,,"Either Alex or these photographers %is,are% recording the solar eclipse.",175104,27,cloze,
1616,All,,,,Bill,S,Kim,S,0.0-2.0-0.26,17,['is'],,,"Either Bill or Kim %is,are% attending to the patients.",179272,28,cloze,
1616,All,,,P,those kids,P,,,0.0-2.0-0.27,43,['are'],,,"Those kids %is,are% building the tree house.",181944,29,cloze,
1616,All,,,S,Lin,S,,,0.0-2.0-0.28,51,['is'],,,"Lin %is,are% reviewing the project proposals.",184864,30,cloze,
1616,All,,,,Hanako,S,those mechanics,P,0.0-2.0-0.29,4,['are'],,,"Either Hanako or those mechanics %is,are% repairing the truck engine.",190584,31,cloze,
1616,All,,,,Hank,S,those parents,P,0.0-2.0-0.30,24,['are'],,,"Either Hank or those parents %is,are% taking care of the babies.",194241,32,cloze,
1616,All,,,S,Lydia,S,,,0.0-2.0-0.31,67,['is'],,,"Lydia %is,are% tailoring the costumes.",196905,33,cloze,
1616,All,,,S,Elias,S,,,0.0-2.0-0.32,52,['is'],,,"Elias %is,are% leading the scientific research.",200105,34,cloze,
1616,All,,,,Brian,S,Jamaal,S,0.0-2.0-0.33,9,['is'],,,"Either Brian or Jamaal %is,are% creating the fashion collection.",205687,35,cloze,
1616,All,,,,Lisa,S,those children,P,0.0-2.0-0.34,5,['are'],,,"Either Lisa or those children %is,are% preparing dinner.",208936,36,cloze,
1616,All,,,S,Thomas,S,,,0.0-2.0-0.35,63,['is'],,,"Thomas %is,are% training at the sports center.",212480,37,cloze,
1616,All,,,P,those editors,P,,,0.0-2.0-0.36,39,['are'],,,"Those editors %is,are% proofreading the manuscripts.",215065,38,cloze,
1616,All,,,S,Ellen,S,,,0.0-2.0-0.37,71,['is'],,,"Ellen %is,are% renovating the historic building.",220656,39,cloze,
1616,All,,,,those boys,P,John,S,0.0-2.0-0.38,1,['are'],,,"Either those boys or John %is,are% interviewing the movie star.",224728,40,cloze,
1616,All,,,,these housekeepers,P,those plumbers,P,0.0-2.0-0.39,6,['are'],,,"Either these housekeepers or those plumbers %is,are% fixing the leaking pipe.",228825,41,cloze,
1616,All,,,PS,those electricians,P,Melissa,S,0.0-2.0-0.40,33,['are'],,,"Both those electricians and Melissa %is,are% fixing the wiring issues.",232120,42,cloze,
1616,All,,,S,Kim,S,,,0.0-2.0-0.41,60,['is'],,,"Kim %is,are% cataloging the library collection.",236248,43,cloze,
1616,All,,,,Hasan,S,those volunteers,P,0.0-2.0-0.42,20,['are'],,,"Either Hasan or those volunteers %is,are% sorting the books.",239144,44,cloze,
1616,All,,,,those secretaries,P,those editors,P,0.0-2.0-0.43,14,['are'],,,"Either those secretaries or those editors %is,are% proofreading the manuscripts.",243527,45,cloze,
1616,All,,,S,Zeynab,S,,,0.0-2.0-0.44,54,['is'],,,"Zeynab %is,are% caring for the garden.",247344,46,cloze,
1616,All,,,S,Hank,S,,,0.0-2.0-0.45,73,['is'],,,"Hank %is,are% constructing the playground.",250489,47,cloze,
1616,All,,,,these interior designers,P,these architects,P,0.0-2.0-0.46,13,['are'],,,"Either these interior designers or these architects %is,are% designing the building's layout.",254912,48,cloze,
1616,All,,,,Hossein,S,those illustrators,P,0.0-2.0-0.47,25,['are'],,,"Either Hossein or those illustrators %is,are% sketching the concept art.",257696,49,cloze,
1616,All,,,S,Ali,S,,,0.0-2.0-0.48,72,['is'],,,"Ali %is,are% cooking the festive meal.",260227,50,cloze,
1616,All,,,P,those athletes,P,,,0.0-2.0-0.49,48,['are'],,,"Those athletes %is,are% working out at the gym.",265849,51,cloze,
1616,All,,,S,Hasan,S,,,0.0-2.0-0.50,65,['is'],,,"Hasan %is,are% decorating the gallery.",269480,52,cloze,
1616,All,,,P,those farmers,P,,,0.0-2.0-0.51,47,['are'],,,"Those farmers %is,are% tending to the crops.",272088,53,cloze,
1616,All,,,S,Pedro,S,,,0.0-2.0-0.52,53,['is'],,,"Pedro %is,are% editing the academic journal.",276385,54,cloze,
1616,All,,,SS,Sarah,S,Matt,S,0.0-2.0-0.53,35,['are'],,,"Both Sarah and Matt %is,are% writing the end-of-year report.",278896,55,cloze,
1616,All,,,S,Andy,S,,,0.0-2.0-0.54,69,['is'],,,"Andy %is,are% capturing the wildlife in photographs.",282170,56,cloze,
1616,All,,,,Sarah,S,Matt,S,0.0-2.0-0.55,10,['is'],,,"Either Sarah or Matt %is,are% writing the end-of-year report.",288232,57,cloze,
1616,All,,,S,Jimmy,S,,,0.0-2.0-0.56,61,['is'],,,"Jimmy %is,are% fertilizing the fields.",291119,58,cloze,
1616,All,,,SS,Juan,S,Antonio,S,0.0-2.0-0.57,36,['are'],,,"Both Juan and Antonio %is,are% making the admission decisions.",294320,59,cloze,
1616,All,,,,Jimmy,S,Carlos,S,0.0-2.0-0.58,18,['is'],,,"Either Jimmy or Carlos %is,are% building the tree house.",297976,60,cloze,
