experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	The individually quick frozen fruit packs , or iqf fruit for short ,	is	be	Sing	way	cop	The individually quick frozen fruit packs, or iqf fruit for short, is my favorite way to have a taste of summer even during the winter months.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a loved one	are	be	Sing	look	aux	If you or a loved one are looking for information on Surfside Structured Sober Living or addiction treatment programs like Ashley please reach out for help.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The phrase " or risk thereof "	includes	include	Sing	include	root	The phrase "or risk thereof" includes any process variation for which a recurrence would carry a significant chance of a serious adverse outcome."	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	stable or unstable	is	be	Sing	problem	cop	stable or unstable is the stability problem.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Personal Pronoun	Low speed impacts or those with little damage	do	do	Plur	mean	aux	Low speed impacts or those with little damage do not always mean that the individuals in the collision are NOT injured.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Innovative ideas or technologies	need	need	Plur	need	root	Innovative ideas or technologies often need time and testing to develop and evolve.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	torn fabric or a disconnected panel	does	do	Sing	mean	aux	Much of the time, torn fabric or a disconnected panel doesn’t mean you’re going to need a new cube, our team will expertly reassemble your cubicle after performing any necessary repairs so that your cubicles are installed good as new.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	wants	want	Sing	want	advcl	When one visits a salon, he or she can either get the services from a hairdresser or barber depending on what he or she wants.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	plan	aux	An individual is best recommended to consider and get to know the size and type of salon that he or she is planning to open and the kind of services that will be offered.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	people or users	are	be	Plur	increase	aux	In this course of innovation people or users are now increasing their online exposure by letting other people or online users connect with them.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	dump	aux	Then there is the difficulty of getting rid of your spend, are they executing it properly, is he or she adhering to the actual dumping bylaws in the area or is he or she illegally dumping your spend and rubbish.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	adhere	aux	Then there is the difficulty of getting rid of your spend, are they executing it properly, is he or she adhering to the actual dumping bylaws in the area or is he or she illegally dumping your spend and rubbish.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or someone you love	needs	need	Sing	need	advcl:relcl	Inspirational cards with inspirational words and pictures, for when you or someone you love needs that little pick me up.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Millions or even billions of people	go	go	Plur	go	root	Millions or even billions of people go online to check their social networking sites or surf the net everyday.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Laptops or desktop computers	are	be	Plur	device	cop	Laptops or desktop computers are no longer the only devices for surfing the net.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the Saints or the Falcons	have	have	Plur	have	ccomp	"Do NFL odds makers insiders think that the Saints or the Falcons have the edge cover the spread?"	c4-train.00001-of-01024_parsed_xad.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	garlic or compounds from it	has	have	Sing	have	ccomp	Some small, short-term studies have that garlic or compounds from it has a range of.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	thinks	think	Sing	think	acl	Every person may philosophize, more or less, to the degree that he or she thinks systematically about fundamental issues.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The economist ( or sociologist or psychologist ) who believes that his discipline can explain all that is worth knowing about human affairs	suffers	suffer	Sing	suffer	root	The economist (or sociologist or psychologist) who believes that his discipline can explain all that is worth knowing about human affairs suffers from a professional conceit, a cognitive myopia that often breeds a disdain for methodology.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A PhD or MD	has	have	Sing	become	aux	Advantages of an advanced degree: A PhD or MD has become a requisite for entry into this profession, owing to the sophistication and scope of the relevant basic and clinical disciplines and the development of peer-peer relationships.	c4-train.00001-of-01024_parsed_xad.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Blind Services or Low Vision Rehabilitation	is	be	Sing	what	cop	What is Blind Services or Low Vision Rehabilitation?	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your family	has	have	Sing	suffer	aux	If you or your family has suffered an injury because of someone else’s carelessness, you will need an experienced New York Car Accident Lawyer to defend your rights.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Mums or Dads	have	have	Plur	drop	aux	This is for our youngest members and is at a handy time just after Mums or Dads have dropped off older siblings at the school next door.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	evidence , or lack thereof ,	points	point	Sing	point	advcl	Almost every death case now is tagged as EJK even though evidence, or lack thereof, points to the contrary.	c4-train.00001-of-01024_parsed_xad.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	great expectations , or poor expectations for that matter	determine	determine	Plur	determine	ccomp	"Once I learned more about what drives stocks, I realized that great expectations, or poor expectations for that matter, often determine where a stock or even an entire market can go," the "Mad Money" host said.	c4-train.00001-of-01024_parsed_xad.conllu
UNK	False	False	UNK	Not Personal Pronoun	UNK	Not Personal Pronoun	what or what has to go	has	have	Sing	have	ccomp	This way, you will know what has to be put in or what has to go, and you can work on these things prior to planting.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	do	aux	Price is very important, but before hiring any landscaper, be sure to take a look at the past work that he or she has done.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	E - bay or Etsy	has	have	Sing	have	root	Maybe E-bay or Etsy has some similiar.	c4-train.00001-of-01024_parsed_xad.conllu
PS	False	False	Plur	3	Sing	Not Personal Pronoun	they , or anyone else it relates ,	want	want	Plur	want	acl:relcl	But what I think people need to consider is whether this is information that they, or anyone else it relates to, want in the public domain either for personal or professional reasons.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	my product or service	is	be	Sing	solve	aux	How is my product or service solving a problem?	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a parent or guardian	believes	believe	Sing	believe	advcl	If a parent or guardian believes that www.vacuumcleanr.com has in its database the personally-identifiable information of a child under the age of 13, please contact us immediately (using the contact in the first paragraph) and we will use our best efforts to promptly remove such information from our records.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	filming or photography	happen	happen		happen	advcl	The Media Office will usually prepare a convenient time outdoors visitor hours for filming or photography to happen and will acquire the entire obligatory permissions.	c4-train.00001-of-01024_parsed_xad.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A tank or trough for the reception of raw milk	permits	permit	Sing	permit	root	A tank or trough for the reception of raw milk permits discharge of the milk manually, in milk churns, or by means of cistern trucks.	c4-train.00001-of-01024_parsed_xad.conllu
