workerid,proliferate.condition,accuracy,category,conj1,conj2,dataType,id,internal_node_id,response,rt,stimulus,text,time_elapsed,trial_index,trial_type,error
2068,All,,irb,,,,,0.0-0.0,0,1271,"<p><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p>",,1280,0,html-button-response,
2068,All,,instructions,,,,,0.0-1.0, ,6604,"In this experiment, you will read a series of sentences and will be asked to indicate the word which best completes each one.<br><br><strong>Please type the word 'is', 'are', or 'am' in the blank, then press ENTER when you're ready to move on to the next sentence.</strong> <br><br>If you're unsure about your choice, follow your first instinct.<br><br>When you're ready to begin, press the space bar.",,7886,1,html-keyboard-response,
2068,All,,,we,I,filler_are,108,0.0-2.0-0.0,['am'],,,"Both we and I %is,are,am% building a model train set.",11620,2,cloze,
2068,All,,,I,the columnist,critical,6,0.0-2.0-0.1,['are'],,,"Either I or the columnist %is,are,am% watching the movie.",14091,3,cloze,
2068,All,,,we,the reporters,critical,26,0.0-2.0-0.2,['are'],,,"Either we or the reporters %is,are,am% celebrating the team's win.",16951,4,cloze,
2068,All,,,I,null,filler_am,77,0.0-2.0-0.3,['am'],,,"I %is,are,am% getting my ears pierced.",18477,5,cloze,
2068,All,,,the maids,I,critical,51,0.0-2.0-0.4,['am'],,,"Either the maids or I %is,are,am% making a difference.",20348,6,cloze,
2068,All,,,the teacher,the hairdressers,critical,48,0.0-2.0-0.5,['are'],,,"Either the teacher or the hairdressers %is,are,am% crying in the club.",23310,7,cloze,
2068,All,,,I,we,critical,4,0.0-2.0-0.6,['are'],,,"Either I or we %is,are,am% painting a masterpiece.",26585,8,cloze,
2068,All,,,Oliver,we,filler_are,90,0.0-2.0-0.7,['are'],,,"Both Oliver and we %is,are,am% designing tote bags for the funeral home.",28771,9,cloze,
2068,All,,,I,null,filler_am,78,0.0-2.0-0.8,['am'],,,"I %is,are,am% cooking dinner for my dog.",30254,10,cloze,
2068,All,,,the gargoyle,the graphic designers,critical,68,0.0-2.0-0.9,['are'],,,"Either the gargoyle or the graphic designers %is,are,am% making a toy at Build-A-Bear.",33544,11,cloze,
2068,All,,,Frank,the janitors,filler_are,104,0.0-2.0-0.10,['are'],,,"Both Frank and the janitors %is,are,am% purchasing new phones.",35418,12,cloze,
2068,All,,,I,the painter,critical,8,0.0-2.0-0.11,['is'],,,"Either I or the painter %is,are,am% preheating the oven.",37767,13,cloze,
2068,All,,,the Grim Reaper,the astrologists,critical,45,0.0-2.0-0.12,['are'],,,"Either the Grim Reaper or the astrologists %is,are,am% cleaning the inside of the oven.",40525,14,cloze,
2068,All,,,Uma,null,filler_is,112,0.0-2.0-0.13,['is'],,,"Uma %is,are,am% trying to decipher the youths' slang.",41732,15,cloze,
2068,All,,,Xavier,null,filler_is,118,0.0-2.0-0.14,['is'],,,"Xavier %is,are,am% eating without utensils.",42904,16,cloze,
2068,All,,,Henry,null,filler_is,121,0.0-2.0-0.15,['is'],,,"Henry %is,are,am% arranging a bouquet.",44501,17,cloze,
2068,All,,,I,the harpy,critical,5,0.0-2.0-0.16,['is'],,,"Either I or the harpy %is,are,am% celebrating World Rivers Day.",46744,18,cloze,
2068,All,,,the mermaids,the meteorologist,critical,61,0.0-2.0-0.17,['are'],,,"Either the mermaids or the meteorologist %is,are,am% hitting the jackpot.",52949,19,cloze,
2068,All,,,the cartoonists,I,critical,53,0.0-2.0-0.18,['am'],,,"Either the cartoonists or I %is,are,am% attending the conference in Azerbaijan.",55382,20,cloze,
2068,All,,,I,null,filler_am,85,0.0-2.0-0.19,['am'],,,"I %is,are,am% helping my sister-in-law with her art history paper.",56938,21,cloze,
2068,All,,,I,we,critical,1,0.0-2.0-0.20,['are'],,,"Either I or we %is,are,am% going to the beach.",60999,22,cloze,
2068,All,,,the surfer,the ensemble members,critical,46,0.0-2.0-0.21,['are'],,,"Either the surfer or the ensemble members %is,are,am% climbing a mountain.",63031,23,cloze,
2068,All,,,Zachary,null,filler_is,113,0.0-2.0-0.22,['is'],,,"Zachary %is,are,am% looking for a clean pair of shorts.",64433,24,cloze,
2068,All,,,the coach,we,critical,37,0.0-2.0-0.23,['are'],,,"Either the coach or we %is,are,am% reading the latest Stephen King novel.",66156,25,cloze,
2068,All,,,Ximena,I,filler_are,103,0.0-2.0-0.24,['are'],,,"Both Ximena and I %is,are,am% seeking external validation.",68987,26,cloze,
2068,All,,,Jack,null,filler_is,115,0.0-2.0-0.25,['is'],,,"Jack %is,are,am% building a home.",72894,27,cloze,
2068,All,,,I,null,filler_am,81,0.0-2.0-0.26,['am'],,,"I %is,are,am% working on my PhD.",73989,28,cloze,
2068,All,,,we,the shoppers,filler_are,97,0.0-2.0-0.27,['are'],,,"Both we and the shoppers %is,are,am% playing Scrabble.",77853,29,cloze,
2068,All,,,I,null,filler_am,87,0.0-2.0-0.28,['am'],,,"I %is,are,am% working on my third novel.",79453,30,cloze,
2068,All,,,I,null,filler_am,88,0.0-2.0-0.29,['am'],,,"I %is,are,am% picking the onion out of my tomato soup.",80852,31,cloze,
2068,All,,,I,null,filler_am,82,0.0-2.0-0.30,['am'],,,"I %is,are,am% celebrating my sibling's birthday.",82083,32,cloze,
2068,All,,,the librarian,we,critical,36,0.0-2.0-0.31,['are'],,,"Either the librarian or we %is,are,am% petting the cat.",84100,33,cloze,
2068,All,,,the jewelers,we,critical,57,0.0-2.0-0.32,['are'],,,"Either the jewelers or we %is,are,am% giving away free donuts.",86036,34,cloze,
2068,All,,,the fairy,the astronaut,critical,44,0.0-2.0-0.33,['is'],,,"Either the fairy or the astronaut %is,are,am% writing an original song about breakups.",87959,35,cloze,
2068,All,,,Hannah,the Martians,filler_are,100,0.0-2.0-0.34,['are'],,,"Both Hannah and the Martians %is,are,am% putting together a heist.",89979,36,cloze,
2068,All,,,I,null,filler_am,80,0.0-2.0-0.35,['am'],,,"I %is,are,am% weeding my garden.",90982,37,cloze,
2068,All,,,Naomi,null,filler_is,123,0.0-2.0-0.36,['is'],,,"Naomi %is,are,am% catching the train uptown.",92320,38,cloze,
2068,All,,,the hitchhikers,the hero,critical,60,0.0-2.0-0.37,['is'],,,"Either the hitchhikers or the hero %is,are,am% trying to remember the capital of Australia.",95329,39,cloze,
2068,All,,,the ogres,the sailor,critical,62,0.0-2.0-0.38,['is'],,,"Either the ogres or the sailor %is,are,am% dominating in League of Legends.",99545,40,cloze,
2068,All,,,the street performers,the scientist,critical,64,0.0-2.0-0.39,['is'],,,"Either the street performers or the scientist %is,are,am% dancing the macarena.",101013,41,cloze,
2068,All,,,I,the children,critical,13,0.0-2.0-0.40,['are'],,,"Either I or the children %is,are,am% drinking copious amounts of lemonade.",103303,42,cloze,
2068,All,,,the writer,the pilot,critical,42,0.0-2.0-0.41,['is'],,,"Either the writer or the pilot %is,are,am% dancing the Hula.",105833,43,cloze,
2068,All,,,I,null,filler_am,83,0.0-2.0-0.42,['am'],,,"I %is,are,am% giving my partner a high-five.",107920,44,cloze,
2068,All,,,we,I,critical,19,0.0-2.0-0.43,['am'],,,"Either we or I %is,are,am% ordering more paella.",110078,45,cloze,
2068,All,,,Amelia,null,filler_is,120,0.0-2.0-0.44,['is'],,,"Amelia %is,are,am% trying to cleanse the negative energy in the house.",111374,46,cloze,
2068,All,,,I,null,filler_am,75,0.0-2.0-0.45,['am'],,,"I %is,are,am% wishing on a shooting star.",112513,47,cloze,
2068,All,,,we,Gabriel,filler_are,105,0.0-2.0-0.46,['are'],,,"Both we and Gabriel %is,are,am% painting over the original Mona Lisa.",116067,48,cloze,
2068,All,,,the mummies,we,critical,55,0.0-2.0-0.47,['are'],,,"Either the mummies or we %is,are,am% welcoming the guests.",118301,49,cloze,
2068,All,,,the wizards,I,critical,50,0.0-2.0-0.48,['am'],,,"Either the wizards or I %is,are,am% writing a review of the circus performance.",120085,50,cloze,
2068,All,,,Willa,null,filler_is,110,0.0-2.0-0.49,['is'],,,"Willa %is,are,am% drinking a Diet Coke in the shower.",121587,51,cloze,
2068,All,,,Grace,null,filler_is,119,0.0-2.0-0.50,['is'],,,"Grace %is,are,am% hoping for a miracle.",123145,52,cloze,
2068,All,,,the programmers,I,critical,54,0.0-2.0-0.51,['am'],,,"Either the programmers or I %is,are,am% conducting an experiment.",125022,53,cloze,
2068,All,,,we,I,critical,15,0.0-2.0-0.52,['am'],,,"Either we or I %is,are,am% making a hearty stew.",126521,54,cloze,
2068,All,,,I,we,critical,3,0.0-2.0-0.53,['are'],,,"Either I or we %is,are,am% running a marathon.",128396,55,cloze,
2068,All,,,the field worker,we,critical,35,0.0-2.0-0.54,['are'],,,"Either the field worker or we %is,are,am% fixing the car.",129915,56,cloze,
2068,All,,,Holly,null,filler_is,114,0.0-2.0-0.55,['is'],,,"Holly %is,are,am% folding napkins for the wedding.",131118,57,cloze,
2068,All,,,Penelope,null,filler_is,124,0.0-2.0-0.56,['is'],,,"Penelope %is,are,am% trying to hail a taxi.",132752,58,cloze,
2068,All,,,the tailors,the leprechauns,critical,66,0.0-2.0-0.57,['are'],,,"Either the tailors or the leprechauns %is,are,am% attending a lecture on Jane Austen.",134993,59,cloze,
2068,All,,,we,the customers,critical,29,0.0-2.0-0.58,['are'],,,"Either we or the customers %is,are,am% baking cookies.",136942,60,cloze,
2068,All,,,the stunt doubles,the dog trainers,filler_are,92,0.0-2.0-0.59,['are'],,,"Both the stunt doubles and the dog trainers %is,are,am% reworking the building's evacuation plans.",142235,61,cloze,
2068,All,,,the androids,the waitress,critical,63,0.0-2.0-0.60,['is'],,,"Either the androids or the waitress %is,are,am% learning a new language.",144205,62,cloze,
2068,All,,,the architect,the visitor,critical,40,0.0-2.0-0.61,['is'],,,"Either the architect or the visitor %is,are,am% camping in the Redwood forest.",146367,63,cloze,
2068,All,,,Kayla,null,filler_is,122,0.0-2.0-0.62,['is'],,,"Kayla %is,are,am% reading the magazine.",147534,64,cloze,
2068,All,,,I,null,filler_am,76,0.0-2.0-0.63,['am'],,,"I %is,are,am% helping my friend win back their ex.",148541,65,cloze,
2068,All,,,we,I,critical,18,0.0-2.0-0.64,['are'],,,"Either we or I %is,are,am% winning the tournament.",151024,66,cloze,
