experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a once a month filter change ( or cleaning )	is	be	Sing	question	cop	In peak heating and cooling times, a once a month filter change (or cleaning) is not out of the question.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A concept map or conceptual diagram	is	be	Sing	diagram	cop	A concept map or conceptual diagram is a diagram that depicts suggested relationships between concepts.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A screw conveyor or auger conveyor	is	be	Sing	mechanism	cop	A screw conveyor or auger conveyor is a mechanism that uses a rotating helical screw blade, ... Code For Single Head Screw Feeder 1077.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a loved one	are	be	Sing	seek	aux	If you or a loved one are seeking information for an adult adoption, contact an experienced California Legal Document Assistant to discuss the unique details of your situation.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a loved one	are	be	Sing	seek	aux	If you or a loved one are seeking an adult adoption, contact IntegriDocs to help you with your paperwork.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	that poker party or bonfire at a friend ’s house	turns	turn	Sing	turn	advcl	If that poker party or bonfire at a friend’s house turns into an occasion where you have been drinking, you will either spend the night or call us for a ride—no questions asked.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	you favorite oldies album or soundtrack	is	be	Sing	what	cop	What is you favorite oldies album or soundtrack?	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the PFMA and / or Management Company	reserves	reserve	Sing	reserve	root	For rules violations or failing to remain in good standing, the PFMA and/or Management Company reserves the right to restrict you from using the courts and suspend the ‘Recreation Access Card’.	c4-train.00002-of-01024_parsed_xaa.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	hot coals or dry heat	carmelizes	carmelize	Sing	carmelize	ccomp	I think hot coals or dry heat carmelizes the outside before the inside is properly cooked, and once you try this recipe–you may agree.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	tofu or cooked sweet potato or yam	are	be	Plur	addition	cop	Also tofu or cooked sweet potato or yam are nice additions.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Each recipe or grouping of recipes	has	have	Sing	have	root	Each recipe or grouping of recipes has notes about the history and customs of the dish, so I found myself learning a lot going through the book and selecting recipes to try.	c4-train.00002-of-01024_parsed_xaa.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	an hour or two of labor for a functioning tool	is	be	Sing	investment	cop	This will be a user, and I think an hour or two of labor for a functioning tool is a good investment.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the Merasim Köşkü , or Ceremonial Kiosk ,	is	be	Sing	focus	cop	Set back from the entrance, veiled by magnolias and ginkgo trees, the Merasim Köşkü, or Ceremonial Kiosk, is the focus of the Ihlamur Kasrı.	c4-train.00002-of-01024_parsed_xaa.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a single person or a single laboratory	has	have	Sing	have	csubj	In fact, it is sometimes unlikely that a single person or a single laboratory has all the necessary skills to complete a research project, and becoming effective collaborators is the key to answer our questions and to produce high impact research.	c4-train.00002-of-01024_parsed_xaa.conllu
