experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
UNK	False	False	UNK	2	Sing	Not Personal Pronoun	you or someone you know	finds	find	Sing	find	advcl	So if you or someone you know finds water damage, you should simply call with 888-491-5860 in order to talk to our water removal specialists.	c4-train.00002-of-01024_parsed_xab.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	The emergence of a text , or its resources	reside	reside	Plur	reside	root	The emergence of a text, or its resources reside outside of the same title as the limits of a.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the product or output of this project	Is	be	Sing	go	aux	Is the product or output of this project going to produce the same value as it was expected to when the project was suspended?	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a pause or slowdown	is	be	Sing	opportunity	cop	For some organizations, a pause or slowdown is an opportunity for the Project Management Office to shore up the project management expertise and tools.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a disaster or a savage infection	takes	take	Sing	take	acl:relcl	Vehicle accidents have been taking many lives every year, it has now outnumbered the number of death a disaster or a savage infection takes lives in a year.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an individual and / or team	applies	apply	Sing	apply	acl:relcl	The level of motivation an individual and/or team applies to project efforts can affect all aspects of project results.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the outcome of an activity or the occurrence of an event	influences	influence	Sing	influence	advcl	A dependency exists whenever the outcome of an activity or the occurrence of an event influences the execution of another activity.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	your graphs or dashboards	look	look	Plur	look	advcl	don't worry too much about exactly how your graphs or dashboards look.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	does	do	Sing	have	aux	Depending upon the facts, we can ascertain where the debtor is, what the debtor has, and what the debtor claims he or she does not have but in fact controls.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	my download or structure book	believes	believe	Sing	believe	advcl	What if my download or structure book believes not be the Imprint?	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the edition or pleasure behind the high - efficiency	provides	provide	Sing	provide	ccomp	The sure download looking at you should follow yourself when applying download informs whether the edition or pleasure behind the high-efficiency provides Editorial or left.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	my phone or tendency world	is	be	Sing	invest	aux	What if my phone or tendency world is accordingly invest the taxation?	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The blues chord progression , or 12 bar blues progression ,	is	be	Sing	progression	cop	The blues chord progression, or 12 bar blues progression, is a standard I-IV-V chord progression that spans twelve measures.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your spouse	is	be	Sing	work	cop	You may be eligible for loan modification if you or your spouse is out of work for an extended period of time due to disability or illness.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your disability or illness	has	have	Sing	affect	aux	You must be able to show how your disability or illness has affected your ability to receive the loan modification.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	visit	aux	Your child will have opportunities to write and talk about his or her state and states he or she has visited through journaling activities and during class discussions.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	interface or the user interface	is	be	Sing	browser	cop	interface or the user interface is not in the browser.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	The Abbot or Abbess	functions	function	Sing	function	root	The Abbot or Abbess functions less as a manager of an organization and more as a curator of an environment.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the government or culture	persecute	persecute	Plur	persecute	acl:relcl	Some come from countries where the government or culture persecute Christians.	c4-train.00002-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	trusted partners or IT staffers	throw	throw	Plur	throw	conj	They utilize off-the-shelf products and, again, trusted partners or IT staffers throw in low-cost solutions that result in high-end problems.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a god or deity	exists	exist	Sing	exist	ccomp	To me there is not sufficient evidence to conclude that a god or deity exists.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a god or deity	exists	exist	Sing	exist	ccomp	Rejecting the null would be sufficient evidence to conclude a god or deity exists.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a god or deity	exists	exist	Sing	exist	ccomp	I claim to not know if a god or deity exists and have no sufficient evidence to conclude that a god or deity exists.	c4-train.00002-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a god or deity	exists	exist	Sing	exist	ccomp	I claim to not know if a god or deity exists and have no sufficient evidence to conclude that a god or deity exists.	c4-train.00002-of-01024_parsed_xab.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or a loved one	use	use	Sing	use	advcl	It is important to educate yourself if you or a loved one use buspirone.	c4-train.00002-of-01024_parsed_xab.conllu
