workerid,proliferate.condition,accuracy,category,cond,conj1,conj1_num,conj2,conj2_num,dataType,internal_node_id,item,response,rt,stimulus,text,time_elapsed,trial_index,trial_type,error
1625,Main,,irb,,,,,,,0.0-0.0,,0,3697,"<p><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p>",,3699,0,html-button-response,
1625,Main,,instructions,,,,,,,0.0-1.0,, ,1774,"In this experiment, you will read a series of sentences and will be asked to indicate the word which best completes it.<br><br><strong>Please type the word 'is' or 'are' in the blank.</strong> <br><br>If you're unsure about your choice, follow your first instinct.<br><br>When you're ready to begin, press the space bar.",,5473,1,html-keyboard-response,
1625,Main,,,SS,Hossein,S,Elias,S,Critical,0.0-2.0-0.0,25,['are'],,,"Either Hossein or Elias %is,are% sketching the concept art.",13255,2,cloze,
1625,Main,,,SS,David,S,Joan,S,Critical,0.0-2.0-0.1,6,['are'],,,"Either David or Joan %is,are% fixing the leaking pipe.",15916,3,cloze,
1625,Main,,,SS,Sarah,S,Matt,S,Filler,0.0-2.0-0.2,35,['are'],,,"Both Sarah and Matt %is,are% writing the end-of-year report.",19748,4,cloze,
1625,Main,,,PS,these research assistants,P,Fatima,S,Filler,0.0-2.0-0.3,32,['are'],,,"Both these research assistants and Fatima %is,are% conducting the experiments.",21731,5,cloze,
1625,Main,,,SS,Hanako,S,George,S,Critical,0.0-2.0-0.4,4,['are'],,,"Either Hanako or George %is,are% repairing the truck engine.",23178,6,cloze,
1625,Main,,,P,those editors,P,,,Filler,0.0-2.0-0.5,39,['are'],,,"Those editors %is,are% proofreading the manuscripts.",24774,7,cloze,
1625,Main,,,PS,those designers,P,Brian,S,Filler,0.0-2.0-0.6,34,['are'],,,"Both those designers and Brian %is,are% creating the fashion collection.",26791,8,cloze,
1625,Main,,,S,Alex,S,,,Filler,0.0-2.0-0.7,58,['is'],,,"Alex %is,are% installing the security system.",28633,9,cloze,
1625,Main,,,P,these architects,P,,,Filler,0.0-2.0-0.8,38,['are'],,,"These architects %is,are% designing the building's layout.",31446,10,cloze,
1625,Main,,,S,Joey,S,,,Filler,0.0-2.0-0.9,70,['is'],,,"Joey %is,are% developing the game software.",32948,11,cloze,
1625,Main,,,PP,these fashion designers,P,those tailors,P,Critical,0.0-2.0-0.10,19,['are'],,,"Either these fashion designers or those tailors %is,are% sewing the dresses.",34819,12,cloze,
1625,Main,,,P,those farmers,P,,,Filler,0.0-2.0-0.11,47,['are'],,,"Those farmers %is,are% tending to the crops.",36498,13,cloze,
1625,Main,,,SP,Brian,S,those designers,P,Critical,0.0-2.0-0.12,9,['are'],,,"Either Brian or those designers %is,are% creating the fashion collection.",38878,14,cloze,
1625,Main,,,SP,David,S,those plumbers,P,Filler,0.0-2.0-0.13,31,['are'],,,"Both David and those plumbers %is,are% fixing the leaking pipe.",40423,15,cloze,
1625,Main,,,SS,Krishna,S,Amir,S,Filler,0.0-2.0-0.14,37,['are'],,,"Both Krishna and Amir %is,are% analyzing the market trends.",42365,16,cloze,
1625,Main,,,PP,these professors,P,those students,P,Filler,0.0-2.0-0.15,27,['are'],,,"Both these professors and those students %is,are% drafting the important email.",46863,17,cloze,
1625,Main,,,S,Lydia,S,,,Filler,0.0-2.0-0.16,67,['is'],,,"Lydia %is,are% tailoring the costumes.",48232,18,cloze,
1625,Main,,,P,those lawyers,P,,,Filler,0.0-2.0-0.17,40,['are'],,,"Those lawyers %is,are% handling the legal documents.",50659,19,cloze,
1625,Main,,,P,those tailors,P,,,Filler,0.0-2.0-0.18,44,['are'],,,"Those tailors %is,are% sewing the dresses.",54439,20,cloze,
1625,Main,,,P,those kids,P,,,Filler,0.0-2.0-0.19,43,['are'],,,"Those kids %is,are% building the tree house.",55877,21,cloze,
1625,Main,,,PP,these surgeons,P,those nurses,P,Critical,0.0-2.0-0.20,17,['are'],,,"Either these surgeons or those nurses %is,are% attending to the patients.",57568,22,cloze,
1625,Main,,,SS,Peter,S,Noah,S,Critical,0.0-2.0-0.21,15,['are'],,,"Either Peter or Noah %is,are% handling the legal documents.",60885,23,cloze,
1625,Main,,,PP,those babysitters,P,those parents,P,Critical,0.0-2.0-0.22,24,['are'],,,"Either those babysitters or those parents %is,are% taking care of the babies.",63265,24,cloze,
1625,Main,,,P,those nurses,P,,,Filler,0.0-2.0-0.23,42,['are'],,,"Those nurses %is,are% attending to the patients.",64934,25,cloze,
1625,Main,,,S,Hank,S,,,Filler,0.0-2.0-0.24,73,['is'],,,"Hank %is,are% constructing the playground.",66451,26,cloze,
1625,Main,,,S,Kim,S,,,Filler,0.0-2.0-0.25,60,['is'],,,"Kim %is,are% cataloging the library collection.",68263,27,cloze,
1625,Main,,,S,Bill,S,,,Filler,0.0-2.0-0.26,59,['is'],,,"Bill %is,are% planning the conference.",69617,28,cloze,
1625,Main,,,S,Jimmy,S,,,Filler,0.0-2.0-0.27,61,['is'],,,"Jimmy %is,are% fertilizing the fields.",71078,29,cloze,
1625,Main,,,S,Yuki,S,,,Filler,0.0-2.0-0.28,66,['is'],,,"Yuki %is,are% evaluating the scholarship applications.",72480,30,cloze,
1625,Main,,,PS,those electricians,P,Melissa,S,Filler,0.0-2.0-0.29,33,['are'],,,"Both those electricians and Melissa %is,are% fixing the wiring issues.",73948,31,cloze,
1625,Main,,,SS,Jimmy,S,Carlos,S,Critical,0.0-2.0-0.30,18,['are'],,,"Either Jimmy or Carlos %is,are% building the tree house.",76005,32,cloze,
1625,Main,,,SS,Juan,S,Antonio,S,Filler,0.0-2.0-0.31,36,['are'],,,"Both Juan and Antonio %is,are% making the admission decisions.",99762,33,cloze,
1625,Main,,,S,Andy,S,,,Filler,0.0-2.0-0.32,69,['is'],,,"Andy %is,are% capturing the wildlife in photographs.",104838,34,cloze,
1625,Main,,,S,Thomas,S,,,Filler,0.0-2.0-0.33,63,['is'],,,"Thomas %is,are% training at the sports center.",106217,35,cloze,
1625,Main,,,PP,those administrators,P,these teachers,P,Critical,0.0-2.0-0.34,11,['are'],,,"Either those administrators or these teachers %is,are% making the admission decisions.",107679,36,cloze,
1625,Main,,,SS,Lydia,S,Liam,S,Critical,0.0-2.0-0.35,21,['are'],,,"Either Lydia or Liam %is,are% using the art studio.",108798,37,cloze,
1625,Main,,,S,Maria,S,,,Filler,0.0-2.0-0.36,64,['is'],,,"Maria %is,are% producing the documentary film.",109990,38,cloze,
1625,Main,,,S,Ellen,S,,,Filler,0.0-2.0-0.37,71,['is'],,,"Ellen %is,are% renovating the historic building.",111041,39,cloze,
