experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Winklevi or Winklevii	are	be	Plur	rower	cop	Winklevi or Winklevii are American born rowers and internet entrepreneurs namely Cameron and Tyler Winklevoss.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an accident or some unforeseen occurrence	occur	occur	Plur	occur	advcl	Everyone has personal demands in your own home - a place to live and peace of mind in being aware that if an accident or some unforeseen occurrence occur, you have Condo Insurance in Texarkana Texas to manage almost any ensuing material breakdown or personal injuries.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	What film or series	is	be	Sing	source	cop	What film or series is the most-frequent source of quotes in your group?	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	An exoenzyme , or extracellular enzyme ,	is	be	Sing	enzyme	cop	An exoenzyme, or extracellular enzyme, is an enzyme that is secreted by a cell and functions outside of that cell.	c4-train.00002-of-01024_parsed_xac.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Stock selection criteria or stock picking	is	be	Sing	technique	cop	Stock selection criteria or stock picking is a multi-method technique for investing when specifically dealing and high risk.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Casas , or houses , built in the 19th century ,	are	be	Plur	museum	cop	Casas, or houses, built in the 19th century, are now museums, shops or restaurants; adobe churches add to the color of Old Town.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Your vein doctor in NY or vein doctor in NJ	specializes	specialize	Sing	specialize	root	Your vein doctor in NY or vein doctor in NJ specializes in identifying and correcting vein disease before your symptoms become more serious.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	billionaires or wealthy firms	want	want	Plur	want	advcl	When billionaires or wealthy firms want to buy influence, they can do so readily.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	3G H.324 M or 3G - 324 M	is	be	Sing	protocol	cop	3G H.324M or 3G -324M is a protocol, which enables multimedia content in 3G or UMTS networks.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a Coaching session or program	does	do	Sing	take	aux	How long does a Coaching session or program take?	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a young man ( or boy , I ca n’t see quite clearly )	has	have	Sing	discover	aux	And a young man (or boy, I can’t see quite clearly) has discovered this precious green patch and is standing guard as his sheep graze.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Organoids or enteroids	are	be	Plur	mini-organ	cop	Organoids or enteroids are mini-organs that can be grown in the laboratory that resemble tissues from the body.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	LEED ( or Leadership in Energy & Environmental Design )	is	be	Sing	shape	aux	LEED (or Leadership in Energy & Environmental Design) is shaping the way industry thinks about facility design, construction and maintenance.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	every savvy business owner or digital marketing expert	knows	know	Sing	know	conj	Local cultures do vary, and every savvy business owner or digital marketing expert knows that this is the case.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a close friend or family member	set	set	Plur	set	acl:relcl	The Johnson model intervention method uses a confrontational approach, in which a close friend or family member set up a meeting with the addict and make him or her realize the damage addiction has done and encourage him or her to get help and enter a treatment center immediately.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	signs	sign	Sing	sign	conj	At first a translator with a specialized higher education translates the document from/into a target language, executing it in accordance with a standard pattern and then he or she signs it in the presence of a notary.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	has	have	Sing	have	ccomp	Moreover, a translator must also certify that he or she has necessary expertise by providing his/her diploma of higher education with obtaining “translator” qualification.	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your spouse	commute	commute	Sing	commute	advcl	It’s a great option if you or your spouse commute to San Jose or the surrounding areas, or other to San Francisco.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	fully wooden thresholds or steel bar - grates with hardwood inserts	is	be	Sing	fit	cop	Wooden: sometimes fully wooden thresholds or steel bar-grates with hardwood inserts is the best fit for a design, especially when poolside bare feet are involved.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	becomes	become	Sing	become	acl	Each candidate shall, prior to election, declare a list of successors if he or she becomes unable to serve, or is removed from office, who shall be appointed to replace him or her.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	students or learners	are	be	Plur	try	aux	When students or learners are trying to tackle a new language, it’s easy to get frustrated and bored with the same old curriculum.	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Personal Pronoun	UNK	Not Personal Pronoun	What or who	gives	give	Sing	give	root	What or who gives you inspiration in your photography?	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	one company or nation	controls	control	Sing	control	advcl	When one company or nation controls the vast majority of a highly sought after commodity only ill can follow.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a committee or subcommittee	moves	move	Sing	move	acl:relcl	The process by which a committee or subcommittee moves through the contents of a measure, debating and voting on amendments to its provisions by revising, adding or subtracting language prior to ordering the measure reported.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the Speaker ( or Chair )	counts	count	Sing	count	ccomp	Under certain circumstances, a point of order can be made that a quorum is not present, at which time the Speaker (or Chair) counts for a quorum.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Proceedings of the House or actions on legislation	take	take	Plur	take	root	Proceedings of the House or actions on legislation often take place by unanimous consent of the House (i.e., without objection), whether or not a rule of the House is being violated.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	diet or nutrition	is	be	Sing	predictor	cop	One example is a study Dr. George Blackburn, associate director of the Division of Nutrition at Harvard Medical School who concluded that diet or nutrition is by far the greatest predictor of weight loss success.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	gangs or cults	use	use	Plur	use	ccomp	Some might argue that gangs or cults use these same values, but I disagree.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	1	Sing	Not Pronoun	myself or family	is	be	Sing	start	aux	Personally I make garlic tea whenever myself or family is starting to get sick.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	WHMCS or Web Host Manager Complete Solution	is	be	Sing	tool	cop	WHMCS or Web Host Manager Complete Solution is a comprehensive tool which helps you in client management and billing for the web hosting business.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	forgets	forget	Sing	forget	advcl	Many times a person can get so lost in the incentives and the excitement, he or she forgets the current financial circumstances.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	him or her	get	get		get	xcomp	Making late payments will appear on a person’s credit report, and it will become harder for him or her to get ideal terms for additional or future accounts.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	her or she	charges	charge	Sing	charge	acl:relcl	In due time, an individual is responsible for everything her or she charges to a credit card.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	is	be	Sing	relationship	cop	Domestic Battery by Strangulation (Fla. Stat. 784.041(2)(a)) is defined by a person knowingly and intentionally, against the will of another, impedes the normal breathing or circulation of the blood of a family or household member or a person with whom he or she is in a dating relationship, so as to create a risk of or cause great bodily harm, by applying pressure on the throat or neck of the other person or by blocking the nose or mouth of the other person.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	fails	fail	Sing	fail	advcl	If he or she fails to offer the appropriate information, they will be unable to keep their contribution in their earnings.	c4-train.00002-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	Pollen in the spring or falling leaves in autumn	impair	impair	Plur	impair	root	Pollen in the spring or falling leaves in autumn impair water quality.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	problems or patterns of problems with people , organizations or situations	Do	do	Plur	continue	aux	Do problems or patterns of problems with people, organizations or situations continue to recur or undermine you?	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the commodity or stock	moves	move	Sing	move	ccomp	It assumes the commodity or stock moves in cycles.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	selects	select	Sing	select	advcl	A patient is considered “established” after he or she selects and initiates contact with a provider to schedule an appointment.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your husband or wife	has	have	Sing	have	advcl	In addition, €3.400 when your husband or wife has income for less than €8.000.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	An internal organization publication or website	does	do	Sing	qualify	aux	An internal organization publication or website does not qualify as a commercial publication.	c4-train.00002-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	WLC or its affiliates	owns	own	Sing	own	parataxis	This Web Site, including but not limited to the text, content, photographs, images, video, audio, and graphics contained in this Web Site are protected by copyrights, trademarks, service marks, international treaties, and other proprietary rights and laws of the United States of America and other countries as a collective work and/or compilation; unless otherwise indicated, WLC or its affiliates owns a copyright in the selection, coordination, arrangement, and enhancement of such content.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	proper attrition or outright elimination of the blackberry vines	seems	seem	Sing	seem	conj	The residence behind us is some sort of halfway house, and while they do have a large garden, proper attrition or outright elimination of the blackberry vines seems beyond them (while one resident does an uncanny vocal impersonation of a goat, he sadly lacks a complementary talent for mastication).	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	Plur	Not Pronoun	UNK	Not Pronoun	an annual costs of 0.8 percent of the mortgage quantity , or $ 800 a year for each $ 100,000 borrowed $ 66.67 a month for a $ 100,000 financing	theres	there	Sing	there	root	On a 30-year financing with the minimum deposit, theres an annual costs of 0.8 percent of the mortgage quantity, or $800 a year for each $100,000 borrowed $66.67 a month for a $100,000 financing.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	· Salvia greggii or Salvia microphylla ( Hot Lips ) –	cut	cut		cut	root	· Salvia greggii or Salvia microphylla (Hot Lips) – cut down to about 6 to 12 inches.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your client or your opponent	call	call	Plur	call	acl:relcl	You want to know whether your fact-finder is inclined to believe in what your client or your opponent call innovations, inventions, or trade secrets.	c4-train.00002-of-01024_parsed_xac.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	the Work Providers or the Highways England	provides	provide	Sing	provide	advcl	We will be recommending that operators stop responding to calls to recover vehicles on major roads until the Work Providers or the Highways England provides suitable protection for the recovery personnel.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Work Providers or Government Agencies	want	want	Plur	want	advcl	If Work Providers or Government Agencies want to continue this service they must provide appropriate protection to recovery personnel and FoVRA feels that it is quite reasonable to continue to refuse to attend until reasonable safeguards are in place to protect the lives of those attending any recovery on a major road.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	whose programmes or activities	sanction	sanction	Plur	sanction	acl:relcl	51Political parties and other organizations whose programmes are based upon totalitarian methods and the modes of activity of nazism, fascism and communism, as well as those whose programmes or activities sanction racial or national hatred, the application of violence for the purpose of obtaining power or to influence the State policy, or provide for the secrecy of their own structure or membership, shall be prohibited.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your business or industry	is	be	Sing	what	cop	No matter what your business or industry is, we can figure out a way to creatively solve your PR problems and get you the kind of press and name recognition you’re looking for.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Charlie Austin or Shane Long	shaking	shake		shake	advcl	But with Premier League rules meaning that the striker cannot face his parent club, Southampton will have to rely on Charlie Austin or Shane Long shaking off their persistent injury problems and be on top form for the trip to Anfield.	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	any or some of its clauses	become	become	Plur	become	acl	In the event that any or some of its clauses become invalid, illegal or unenforceable under any rule of law, will be considered ineffective to the extent appropriate, but otherwise, this contract will remain valid. –	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	parents or carers	learning	learn		learn	advcl	Younger children will probably benefit from parents or carers learning some of the songs to sign with them.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Robonaut2 – or R2 for short – from NASA and General Motors ,	is	be	Sing	robot	cop	Robonaut2 – or R2 for short – from NASA and General Motors, is a robot designed to work side-by-side with people in difficult or dangerous places on Earth and in space.	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Plur	Not Pronoun	you or others	become	become		become	acl	then there is nobody for you or others to become interested in getting to know.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	which batch - effect or which combination of these effects	leads	lead	Sing	lead	ccomp	The goal was to check which batch-effect or which combination of these effects leads to the best result, regarding the discrimination between the two conditions.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the site or page	contains	contain	Sing	contain	acl:relcl	I have categorized the links as Personal, Kennel, Club, Commercial, etc. and I have included comments about what the site or page contains and the date that the link was added to the list.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your son or daughter	has	have	Sing	turn	aux	Whether your son or daughter has turned to drug abuse, is suffering from depression or an eating disorder, or is struggling from another behavioral issue, a boarding school offers the essential structured, academic program necessary for self discovery and healing, including character therapeutic boarding schools, wilderness programs or emotional growth schools.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	e.g. Ball or Weck	do	do	Plur	do	parataxis	These may be purchased (e.g. Ball or Weck both do airlock jars), or a home version will suffice at a fraction of the cost.	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Plur	Not Pronoun	you or your students	use	use	Plur	use	acl:relcl	What are the go-to strategies you or your students use to generate narrative writing?	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a configuration or upgrade	malfunctions	malfunction	Sing	malfunction	advcl	You need excellent backup at all times such as the practice of some hosts that allow users to preserve images of their servers and restore the VPS to previous condition if a configuration or upgrade suddenly malfunctions.	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Plur	Not Personal Pronoun	you or those around you	are	be	Plur	feel	aux	If you or those around you are feeling down and out on the job, take note of the positive affirmations below--they'll remind you of why you became a nurse assistant in the first place.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the paint or stain	Is	be	Sing	condition	cop	Is the paint or stain in presentable condition?	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Every great team or player	starts	start	Sing	start	root	Every great team or player starts with a great coach!	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	3	Sing	3	he or she	wishes	wish	Sing	wish	advcl	While offline, a person can only travel as far as he or she wishes to drive to find a part.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	my way or the highway	is	be	Sing	rule	cop	The sides don't even talk, the voting public seem to be stuck on both sides and, apparently, hate each other, "my way or the highway is the rule", etc.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your bathroom or laundry room	is	be	Sing	need	cop	In case your bathroom or laundry room is in need of a quick, easy, (and free!) change-up, here are 20 Laundry Room for Vertical Spaces & Free Printable’s!	c4-train.00002-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	A kitchen remodel or renovations	is	be	Sing	matter	cop	A kitchen remodel or renovations is no small matter.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	a call or voicemail	comes	come	Sing	come	advcl	Make sure you turn off the call waiting on your phone so you are not distracted when a call or voicemail comes through.	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	2	Sing	Not Pronoun	you or your loved one	has	have	Sing	suffer	aux	If you or your loved one has suffered negative consequences because of a misdiagnosis, you may have cause to take legal action.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your balcony or stairway	needs	need	Sing	need	advcl	If your balcony or stairway needs repairs or a complete makeover, our experts will gladly listen to your needs and propose solutions that match your vision and budget.	c4-train.00002-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	the game , or at least the movies ,	do	do	Plur	ignore	aux	I get a bit irritated that the game, or at least the movies, do not ignore the auto sleep function of my phone.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Hyperhidrosis or over sweating	is	be	Sing	problem	cop	Hyperhidrosis or over sweating is a serious problem that occurs daily and often at the most inopportune times.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	the pumps or timers	stop	stop	Plur	stop	advcl	The roots can quickly dry out and die if the pumps or timers stop due to power failure or some other problem.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the other reciprocat A jaw or toggle crusher	consists	consist	Sing	consist	advcl	This mechanical pressure is achieved by the two jaws of the crusher of which one is fixed while the other reciprocat A jaw or toggle crusher consists of a set of vertical .	c4-train.00002-of-01024_parsed_xac.conllu
UNK	False	False	UNK	Not Pronoun	UNK	Not Pronoun	any or all of your products including diapers and wipes	Does	do	Sing	have	aux	Does any or all of your products including diapers and wipes have natural histamine.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Transcreation or creative translation	means	mean	Sing	mean	root	Transcreation or creative translation means adaptation of the translation in a culturally-relevant manner in order to reach the target audience at an emotional and intellectual level.	c4-train.00002-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Every expected future pleasure or pain	affects	affect	Sing	affect	root	Every expected future pleasure or pain affects us with similar feelings in the present time, but with an intensity diminished in some proportion to its uncertainty and its remoteness in time.	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	your colleagues or people around you	Do	do	Plur	disturb	aux	Do your colleagues or people around you repeatedly disturb you?	c4-train.00002-of-01024_parsed_xac.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	Larger cities or towns	have	have	Plur	have	root	Larger cities or towns often have these and the programs are able to increase their leverage with producers and lower cost per unit with more members so there is no need to feel concerned that by using them you are taking away resources from the less fortunate.	c4-train.00002-of-01024_parsed_xac.conllu
